Person Name,Description,Wikipedia Link,Instagram,Twitter,Youtube,Homepage
Steve Wozniak,"Steve Wozniak is an American electronics engineer, computer programmer, philanthropist, inventor, and technology entrepreneur.",https://en.wikipedia.org/wiki/Steve_Wozniak,//www.instagram.com/stevewozniakofficial,//www.twitter.com/stevewoz,,
Thomas Frank,"Thomas Frank is an American political analyst, historian, and journalist.",https://en.wikipedia.org/wiki/Thomas_Frank,//www.instagram.com/tomfrankly,//www.twitter.com/thomasfrank_,,
Maluma,"Juan Luis Londoño Arias, known professionally as Maluma, is a Colombian singer and songwriter Wikipedia.",https://en.wikipedia.org/wiki/Maluma,//www.instagram.com/maluma,//www.twitter.com/maluma,,
Tim Mackie,"As an Amazon Associate, we earn money from purchases made through links in this page.",,,//www.twitter.com/timmackie,,
Timothy Sykes,Timothy Sykes is a penny stock trader.,https://en.wikipedia.org/wiki/Timothy_Sykes,//www.instagram.com/timothysykes,//www.twitter.com/timothysykes,,
Jerzy Gregorek,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/jerzygregorek,//www.twitter.com/TheHappyBody,,
Craig Groeschel,Craig Groeschel is the founder and senior pastor of Life.,https://en.wikipedia.org/wiki/Craig_Groeschel,//www.instagram.com/craiggroeschel,//www.twitter.com/craiggroeschel,,
Courtland Allen,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/courtlandallen,//www.twitter.com/csallen,,
Mark Spitznagel,Mark Spitznagel is an American investor and hedge fund manager.,https://en.wikipedia.org/wiki/Mark_Spitznagel,,,,
Cory Doctorow,"Cory Doctorow is a Canadian-British blogger, journalist, and science fiction author.",https://en.wikipedia.org/wiki/Cory_Doctorow,//www.instagram.com/cory_doctorow,//www.twitter.com/doctorow,,
Jérôme Jarre,"Jérôme Jarre is a French entrepreneur, creator and humanitarian.",https://en.wikipedia.org/wiki/J%C3%A9r%C3%B4me_Jarre,//www.instagram.com/jeromejarre,//www.twitter.com/jeromejarre,,
Corey Wayne,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/coachcoreywayne,//www.twitter.com/CoachCoreyWayne,,
Chrissy Teigen,Chrissy Teigen is an American model and television personality.,https://en.wikipedia.org/wiki/Chrissy_Teigen,//www.instagram.com/chrissyteigen,//www.twitter.com/chrissyteigen,,
